ID;PRODUCT_ID;PRODUCT_NAME;PARTNER_ID;PARTNER NAME;EMAIL;QTY_RECEIVED;PRICE_TOTAL;DATE;
 1;6;Logitech G413 SE Teclado Mecánico Gaming Retroiluminado;7;Intel;Intel@gmail.com;5;302.500000;2022-11-02;
 2;8;Intel Core i5-10400 2.90 GHz;7;Intel;Intel@gmail.com;65;5505.500000;2022-11-17;
 3;11;Apple Magic Keyboard con Teclado Numérico Blanco;36;Apple;apple@gmail.com;50;6050.000000;2022-11-17;
 4;1;Intel Core i7-13700K 3.4 GHz Box;7;Intel;Intel@gmail.com;72;17424.000000;2022-11-17;
 5;12;Intel Core i9-12900K 3.2 GHz;7;Intel;Intel@gmail.com;50;15125.000000;2022-11-17;
 6;10;AMD Ryzen 5 5500 3.6GHz Box;34;AMD;amd@gmail.com;56;3726.800049;2022-11-17;
 7;4;AMD Ryzen 7 5800X 3.8GHz;34;AMD;amd@gmail.com;74;13431.000000;2022-11-17;
 9;5;Logitech MX Master 3 Ratón Inalámbrico Avanzado 4000DPI Grafito;29;Logitech;logitech@gmail.com;35;4446.330078;2022-11-17;
 10;15;Logitech Pro X Superlight Ratón Gaming 25600DPI Negro;29;Logitech;logitech@gmail.com;49;7232.790039;2022-11-17;
 11;16;Logitech MX Master 3S Performance Ratón Inalámbrico 8000 DPI Grafito;29;Logitech;logitech@gmail.com;60;7331.870117;2022-11-17;
 12;18;Logitech G502 Lightspeed Ratón Gaming Inalámbrico 25600DPI;29;Logitech;logitech@gmail.com;43;4838.270020;2022-11-17;
 13;2;Asus TUF Gaming VG27AQ1A 27" LED IPS WQHD 170Hz G-Sync Compatible;37;Asus;Asus@gmail.com;45;20462.310547;2022-11-17;
 14;6;Logitech G413 SE Teclado Mecánico Gaming Retroiluminado;29;Logitech;logitech@gmail.com;25;1512.500000;2022-11-17;
 15;14;Newskill Icarus IC274K-4I 27" LED IPS UltraHD 4K 144Hz Adaptative Sync;39;New Skill;newskill@gmail.com;25;21749.449219;2022-11-17;
 16;17;Lenovo C24-25 23.8" WLED FullHD FreeSync;31;Lenovo;lenovo@gmail.com;45;5988.959961;2022-11-17;
 17;19;MSI Optix G27C7 27" LED FullHD 165Hz FreeSync Premium Curva;33;MSI;msi@gmail.com;45;13558.589844;2022-11-17;
 18;20;Acer KB272HL H 27" LED FullHD 75Hz FreeSync;32;Acer;acer@gmail.com;0;9255.959961;2022-11-17;
 19;13;Forgeon Darrowspike RGB Ratón Gaming Inalámbrico 19.000 DPI Negro;35;Forgeon;forgeon@gmail.com;20;2419.760010;2022-11-17;
 20;7;HP 100 Teclado USB Negro;30;HP;hp@gmail.com;25;272.250000;2022-11-17;
 21;3;HP Pavilion 550 Teclado Mecánico Gaming Switch Red;30;HP;hp@gmail.com;15;907.500000;2022-11-17;
